Plants,Months,Products,value
Houston,Jan-07,200S,231.0
Houston,Feb-07,200S,231.0
Houston,Mar-07,200S,231.0
Houston,Jan-07,300S,102.0
Houston,Feb-07,300S,102.0
Houston,Mar-07,300S,102.0
Houston,Jan-07,600S,62.0
Houston,Feb-07,600S,74.0
Houston,Mar-07,600S,80.0
Houston,Jan-07,626S,0.0
Houston,Feb-07,626S,0.0
Houston,Mar-07,626S,0.0
Houston,Jan-07,676S,134.0
Houston,Feb-07,676S,171.0
Houston,Mar-07,676S,161.0
Houston,Jan-07,676RS,225.0
Houston,Feb-07,676RS,225.0
Houston,Mar-07,676RS,225.0
Houston,Jan-07,900S,0.0
Houston,Feb-07,900S,0.0
Houston,Mar-07,900S,0.0
Houston,Jan-07,929S,0.0
Houston,Feb-07,929S,0.0
Houston,Mar-07,929S,0.0
Houston,Jan-07,996S,27.0
Houston,Feb-07,996S,31.0
Houston,Mar-07,996S,71.0
Houston,Jan-07,996RS,0.0
Houston,Feb-07,996RS,0.0
Houston,Mar-07,996RS,0.0
Houston,Jan-07,RoadStar,205.0
Houston,Feb-07,RoadStar,205.0
Houston,Mar-07,RoadStar,205.0
Houston,Jan-07,RoadLiner,198.0
Houston,Feb-07,RoadLiner,198.0
Houston,Mar-07,RoadLiner,198.0
Houston,Jan-07,Victory,0.0
Houston,Feb-07,Victory,0.0
Houston,Mar-07,Victory,0.0
Houston,Jan-07,Boulevard,0.0
Houston,Feb-07,Boulevard,0.0
Houston,Mar-07,Boulevard,0.0
Houston,Jan-07,KingTwin,140.0
Houston,Feb-07,KingTwin,140.0
Houston,Mar-07,KingTwin,126.0
Houston,Jan-07,MegaTwin,130.0
Houston,Feb-07,MegaTwin,130.0
Houston,Mar-07,MegaTwin,130.0
Houston,Jan-07,ST900,0.0
Houston,Feb-07,ST900,0.0
Houston,Mar-07,ST900,0.0
Houston,Jan-07,ST1200,103.0
Houston,Feb-07,ST1200,46.0
Houston,Mar-07,ST1200,38.0
Houston,Jan-07,ST1200R,0.0
Houston,Feb-07,ST1200R,0.0
Houston,Mar-07,ST1200R,0.0
Houston,Jan-07,Bandit 900,0.0
Houston,Feb-07,Bandit 900,0.0
Houston,Mar-07,Bandit 900,0.0
Houston,Jan-07,Bandit 1200,117.0
Houston,Feb-07,Bandit 1200,117.0
Houston,Mar-07,Bandit 1200,117.0
Houston,Jan-07,Bandit 1200S,0.0
Houston,Feb-07,Bandit 1200S,0.0
Houston,Mar-07,Bandit 1200S,0.0
Houston,Jan-07,Enduro 350,0.0
Houston,Feb-07,Enduro 350,0.0
